 "18898-5" 
 "15009-0" 
 "24621-6" 
 "18959-4" 
 "13325-0" 
 "19003-6" 
 "13984-2" 
 "16445-3" 
 "12543-2" 
 "19692-6" 
 "15729-1" 
 "15730-2" 
 "13331-5" 
 "13329-6" 
 "30055-6" 
 "14900-1" 
 "19748-5" 
 "13443-1" 
 "13444-6" 
 "11801-4" 
 "13450-4" 
 "13446-2" 
 "10850-3" 
 "12232-5" 
 "12174-0" 
 "13713-5" 
 "18726-6" 
 "13714-3" 
 "29401-2" 
 "14292-5" 
 "14665-6" 
 "14972-4" 
 "16666-1" 
 "11646-4" 
 "18968-3" 
 "11357-4" 
 "11352-0" 
 "29679-6" 
 "19512-6" 
 "16527-1" 
 "15689-1" 
 "14796-5" 
 "10150-3" 
 "14293-3" 
 "10486-5" 
 "29858-6" 
 "16397-2" 
 "10377-3" 
 "11285-3" 
 "19771-3" 
 "12914-0" 
 "12234-1" 
 "19027-6" 
 "19533-5" 
 "12407-3" 
 "14743-5" 
 "15627-2" 
 "29857-1" 
 "16400-4" 
 "29142-0" 
 "19014-1" 
 "12969-3" 
 "11180-3" 
 "11286-1" 
 "11181-1" 
 "11307-5" 
 "12607-2" 
 "12119-1" 
 "11262-1" 
 "29822-6" 
 "13406-0" 
 "11182-6" 
 "11183-4" 
 "11389-5" 
 "11235-4" 
 "18168-0" 
 "11264-4" 
 "11268-3" 
 "12621-1" 
 "19111-3" 
 "12617-6" 
 "11185-0" 
 "12609-5" 
 "11186-5" 
 "12610-6" 
 "11187-3" 
 "10001-6" 
 "13957-5" 
 "18492-5" 
 "13341-2" 
 "19634-6" 
 "10488-1" 
 "29569-6" 
 "19625-0" 
 "14728-1" 
 "18259-4" 
 "28782-4" 
 "14223-3" 
 "16001-4" 
 "19491-2" 
 "14516-2" 
 "18336-5" 
 "16704-5" 
 "12175-5" 
 "13322-6" 
 "10138-0" 
 "13180-0" 
 "11358-2" 
 "10691-4" 
 "13377-2" 
 "10798-0" 
 "11576-6" 
 "15951-0" 
 "11288-4" 
 "19286-3" 
 "13053-0" 
 "28023-6" 
 "19753-5" 
 "12812-1" 
 "10833-3" 
 "16489-4" 
 "12880-5" 
 "12823-3" 
 "10682-5" 
 "14924-1" 
 "14940-3" 
 "13523-3" 
 "13574-0" 
 "19834-5" 
 "29997-6" 
 "11979-5" 
 "29612-3" 
 "14100-5" 
 "13283-4" 
 "13687-1" 
 "13688-6" 
 "13773-1" 
 "13691-3" 
 "13756-1" 
 "12341-0" 
 "13686-3" 
 "11411-3" 
 "13793-2" 
 "30033-2" 
 "30034-0" 
 "12014-1" 
 "12935-6" 
 "16176-4" 
 "13284-2" 
 "12717-2" 
 "14021-1" 
 "13194-3" 
 "18495-6" 
 "29902-1" 
 "12905-1" 
 "15163-4" 
 "11289-2" 
 "19220-5" 
 "19745-4" 
 "15908-1" 
 "16529-4" 
 "14899-2" 
 "19805-5" 
 "14212-1" 
 "29763-3" 
 "13881-5" 
 "18352-0" 
 "12164-3" 
 "11290-3" 
 "11252-4" 
 "11362-4" 
 "11360-1" 
 "11392-2" 
 "16134-6" 
 "12618-4" 
 "19818-3" 
 "18850-5" 
 "11295-0" 
 "29281-0" 
 "12656-3" 
 "14249-6" 
 "12591-5" 
 "11365-5" 
 "12309-3" 
 "12053-5" 
 "12228-3" 
 "12320-1" 
 "11905-6" 
 "12038-1" 
 "18139-0" 
 "27331-0" 
 "12041-5" 
 "15909-6" 
 "15910-0" 
 "15708-2" 
 "12040-0" 
 "10490-0" 
 "16768-0" 
 "19746-2" 
 "13351-6" 
 "14001-0" 
 "16792-3" 
 "14973-2" 
 "12357-6" 
 "12337-5" 
 "12361-1" 
 "30027-4" 
 "14765-2" 
 "11353-5" 
 "11394-5" 
 "11397-6" 
 "11398-4" 
 "18170-6" 
 "12963-1" 
 "13242-4" 
 "14932-2" 
 "19811-3" 
 "15635-3" 
 "15633-0" 
 "14107-5" 
 "14261-2" 
 "14294-1" 
 "19539-0" 
 "29524-0" 
 "12015-6" 
 "19484-6" 
 "12021-4" 
 "14446-4" 
 "18014-6" 
 "10491-5" 
 "11784-6" 
 "18456-2" 
 "19485-4" 
 "18820-0" 
 "13151-0" 
 "14194-5" 
 "14173-6" 
 "18250-1" 
 "10728-0" 
 "14941-1" 
 "19231-0" 
 "19610-6" 
 "13650-3" 
 "12325-5" 
 "29760-2" 
 "13197-4" 
 "13365-2" 
 "19934-1" 
 "15637-6" 
 "27839-6" 
 "13279-2" 
 "18729-0" 
 "13715-1" 
 "16266-3" 
 "16382-1" 
 "16267-1" 
 "12246-1" 
 "12042-3" 
 "11154-4" 
 "29585-1" 
 "18237-0" 
 "19541-6" 
 "28881-2" 
 "12218-6" 
 "18560-0" 
 "27873-6" 
 "15638-4" 
 "12996-0" 
 "14599-0" 
 "14601-4" 
 "19430-1" 
 "18271-0" 
 "28921-2" 
 "18080-0" 
 "26340-4" 
 "15640-3" 
 "16401-2" 
 "14295-6" 
 "28488-4" 
 "29201-3" 
 "14751-6" 
 "15599-2" 
 "14583-1" 
 "14318-6" 
 "18242-0" 
 "18241-2" 
 "20341-4" 
 "12884-4" 
 "14355-0" 
 "30031-6" 
 "19807-1" 
 "29081-1" 
 "19802-4" 
 "15604-0" 
 "14752-4" 
 "15606-3" 
 "19030-3" 
 "11496-4" 
 "18060-6" 
 "15916-2" 
 "16246-2" 
 "10515-3" 
 "27914-4" 
 "18668-1" 
 "18788-5" 
 "18107-6" 
 "15142-5" 
 "10730-6" 
 "19789-5" 
 "14225-6" 
 "18868-0" 
 "30057-2" 
 "13301-0" 
 "18013-1" 
 "14214-4" 
 "14350-3" 
 "29961-6" 
 "18952-4" 
 "16247-0" 
 "16493-6" 
 "24665-0" 
 "30060-6" 
 "12780-2" 
 "29807-2" 
 "13480-2" 
 "15713-2" 
 "13492-2" 
 "12271-2" 
 "16782-6" 
 "18767-6" 
 "30043-6" 
 "29649-1" 
 "11862-5" 
 "14262-0" 
 "14749-0" 
 "14812-5" 
 "13102-6" 
 "18434-5" 
 "15554-3" 
 "13427-6" 
 "19620-3" 
 "19544-0" 
 "29101-0" 
 "18074-2" 
 "13652-6" 
 "10733-0" 
 "18108-4" 
 "14279-4" 
 "15937-1" 
 "19521-5" 
 "12273-5" 
 "10005-5" 
 "19136-1" 
 "29808-0" 
 "13481-0" 
 "10006-3" 
 "11650-6" 
 "11735-5" 
 "13694-4" 
 "12311-2" 
 "15952-5" 
 "13200-6" 
 "18572-0" 
 "14195-3" 
 "18712-3" 
 "18359-0" 
 "12974-3" 
 "14431-3" 
 "13076-2" 
 "14466-5" 
 "10455-2" 
 "18229-6" 
 "29181-4" 
 "14472-3" 
 "18022-0" 
 "18426-4" 
 "16658-0" 
 "18911-4" 
 "20762-1" 
 "19599-3" 
 "14175-2" 
 "18989-2" 
 "14176-0" 
 "15993-5" 
 "18353-5" 
 "11812-6" 
 "12975-1" 
 "11771-1" 
 "27358-1" 
 "15466-0" 
 "15470-2" 
 "10555-5" 
 "10560-5" 
 "19790-6" 
 "16028-5" 
 "16029-3" 
 "11651-4" 
 "19615-3" 
 "14196-1" 
 "14056-3" 
 "14197-6" 
 "12984-0" 
 "19427-4" 
 "10475-3" 
 "12612-2" 
 "16708-4" 
 "10495-4" 
 "13160-6" 
 "18301-3" 
 "11652-2" 
 "10312-3" 
 "11369-4" 
 "29919-5" 
 "11272-5" 
 "11299-6" 
 "16709-2" 
 "15932-4" 
 "15918-5" 
 "16556-1" 
 "19353-0" 
 "18109-2" 
 "18556-5" 
 "11152-1" 
 "18793-5" 
 "18387-2" 
 "10836-4" 
 "19318-2" 
 "10092-5" 
 "11370-5" 
 "11301-3" 
 "18209-5" 
 "14432-1" 
 "13513-6" 
 "13600-4" 
 "20817-2" 
 "28951-0" 
 "15938-6" 
 "11564-6" 
 "15939-4" 
 "16030-4" 
 "16698-2" 
 "10173-5" 
 "16249-3" 
 "18214-5" 
 "13636-4" 
 "13655-0" 
 "14515-4" 
 "18934-6" 
 "18935-4" 
 "11371-3" 
 "13499-2" 
 "18984-5" 
 "16250-4" 
 "12781-0" 
 "29301-6" 
 "13352-4" 
 "12230-2" 
 "18085-4" 
 "11532-5" 
 "11533-3" 
 "13723-2" 
 "18728-2" 
 "12207-4" 
 "10808-2" 
 "11536-4" 
 "14158-2" 
 "29854-0" 
 "14161-6" 
 "18312-5" 
 "29573-1" 
 "12491-2" 
 "14775-6" 
 "14122-2" 
 "13155-6" 
 "20399-1" 
 "13247-1" 
 "13516-0" 
 "15868-1" 
 "15919-3" 
 "18236-2" 
 "18290-3" 
 "12368-1" 
 "12241-4" 
 "10436-6" 
 "13343-5" 
 "18338-1" 
 "12961-5" 
 "18339-6" 
 "18235-4" 
 "14538-6" 
 "14046-6" 
 "14449-5" 
 "28128-6" 
 "12782-5" 
 "10738-4" 
 "15920-4" 
 "16628-2" 
 "18863-3" 
 "18142-4" 
 "13871-1" 
 "20485-1" 
 "10696-1" 
 "10612-5" 
 "16426-0" 
 "19287-1" 
 "11194-6" 
 "15994-3" 
 "12274-3" 
 "15642-6" 
 "16427-5" 
 "16391-0" 
 "16204-4" 
 "16497-5" 
 "14949-6" 
 "18097-4" 
 "14926-4" 
 "10944-1" 
 "13988-1" 
 "10897-5" 
 "12939-5" 
 "14989-1" 
 "15643-4" 
 "18678-5" 
 "16314-4" 
 "12693-4" 
 "11302-1" 
 "12570-6" 
 "19124-1" 
 "14885-6" 
 "12940-6" 
 "14603-0" 
 "13307-2" 
 "13306-4" 
 "13409-1" 
 "15869-6" 
 "14412-0" 
 "29620-4" 
 "18496-4" 
 "11543-0" 
 "18613-5" 
 "15441-2" 
 "14135-0" 
 "12941-4" 
 "16332-2" 
 "15644-2" 
 "14012-2" 
 "11415-2" 
 "11416-0" 
 "11421-0" 
 "11448-1" 
 "19815-2" 
 "11852-1" 
 "11965-2" 
 "18831-2" 
 "16587-4" 
 "19773-6" 
 "18830-4" 
 "14105-2" 
 "12942-2" 
 "16699-0" 
 "14479-3" 
 "28854-5" 
 "12180-5" 
 "18289-2" 
 "13727-1" 
 "15872-3" 
 "29226-1" 
 "15873-1" 
 "16502-3" 
 "15876-2" 
 "19768-6" 
 "19849-6" 
 "13410-2" 
 "16697-4" 
 "14087-6" 
 "29964-0" 
