broaderDe,id,notation,labelEn,labelDe,cnt,gndId,s
Edelstein und Halbedelstein,141944,PID23-Ed01,Agate,Achat,4,4052949-6,http://zbw.eu/beta/pm20voc/ip/141944
Gips,141953,PID23-Gi01,Alabaster,Alabaster,5,4141793-8,http://zbw.eu/beta/pm20voc/ip/141953
"Steine, Erden, Keramik und Glas",142046,PID23-Na01,,Basalt,8,4279398-1,http://zbw.eu/beta/pm20voc/ip/142046
Tropische Frucht,142038,PLW04-Bn,Banana,Banane,103,4043051-0,http://zbw.eu/beta/pm20voc/ip/142038
Pflanzenbauprodukte,142089,PLW04-Bw,Cotton,Baumwolle,162,4400051-0,http://zbw.eu/beta/pm20voc/ip/142089
Gemüse,142012,PLW04-Gm01,Artichokes,Artischocken,8,4143140-6,http://zbw.eu/beta/pm20voc/ip/142012
Gemüse,143119,PLW04-Gm08,,Kohl,25,4051799-8,http://zbw.eu/beta/pm20voc/ip/143119
Pflanzenbauprodukte,142035,PLW04-Gr02,,Bambus,35,4174058-0,http://zbw.eu/beta/pm20voc/ip/142035
Kartoffel,142005,PLW04-Kf01,Arrowroot,Arrowroot (Tacca),12,4459032-5,http://zbw.eu/beta/pm20voc/ip/142005
Kartoffel,142049,PLW04-Kf02,,Batate,21,4427325-3,http://zbw.eu/beta/pm20voc/ip/142049
Heilpflanze,141967,PLW04-Kr01,,Aloe,7,4405230-3,http://zbw.eu/beta/pm20voc/ip/141967
Heilpflanze,142041,PLW04-Kr03,,Barosma,2,4177105-9,http://zbw.eu/beta/pm20voc/ip/142041
Nuss und Kern,142023,PLW04-Nu01,,Babassunuss,6,4316053-0,http://zbw.eu/beta/pm20voc/ip/142023
Nuss und Kern,143126,PLW04-Nu05,Coconut,Kokosnuss,1,4125533-1,http://zbw.eu/beta/pm20voc/ip/143126
Frucht,141980,PLW04-Ob01,Apple,Apfel,55,4043051-0,http://zbw.eu/beta/pm20voc/ip/141980
Frucht,142021,PLW04-Ob02,,Avocatbirne,14,4120964-3,http://zbw.eu/beta/pm20voc/ip/142021
Tropische Frucht,141970,PLW04-Tr01,Pineapple,Ananas,57,4043051-0,http://zbw.eu/beta/pm20voc/ip/141970
Frucht,141948,PLW04-Zs,Citrus fruits,Agrumen,70,4304842-0,http://zbw.eu/beta/pm20voc/ip/141948
Agrumen,141981,PLW04-Zs01,Orange,Apfelsine,77,4372979-4,http://zbw.eu/beta/pm20voc/ip/141981
Agrumen,142001,PLW04-Zs02,Apricot,Aprikose,24,4262467-8,http://zbw.eu/beta/pm20voc/ip/142001
Wolle,141972,PLW05-Wo01,Angora rabbit wool,Angorakaninchenwolle,16,4190250-6,http://zbw.eu/beta/pm20voc/ip/141972
Forstprodukte,141950,PLW06-Fp01,Acacia bark,Akazienrinde,14,4141694-6,http://zbw.eu/beta/pm20voc/ip/141950
Forstprodukte,142032,PLW06-Fp02,,Balsam,12,4248922-2,http://zbw.eu/beta/pm20voc/ip/142032
Forstprodukte,142109,PLW06-Fp03,,Benzoe,1,,http://zbw.eu/beta/pm20voc/ip/142109
Holz,142002,PLW06-Hz01,Araucaria,Araucaria,4,4326195-4,http://zbw.eu/beta/pm20voc/ip/142002
